Date,Raw Symbol,symbol,Allocated,Quality,exchange,entry1,entry2,entry3,DA Enabled,DA legs,DA E1 Buyback,DA E2 Buyback,DA E3 Buyback,DATriggerOffset,Last Updated
28-Jul-25,PPLPHARMA,PPLPHARMA,1,Good,NSE,190,186,183,Y,1,3,3,5,1,
10-Jul-25,PRICOLLTD,PRICOLLTD,1,OK,NSE,456.2,445,430.55,Y,1,3,3,5,1,
5-Aug-25,repcohome,REPCOHOME,30000,,NSE,342,325,318,Y,1,3,3,5,1,
3-Jun-25,RPGLIFE,RPGLIFE,1,Good,NSE,2151,2110,2075,Y,1,3,3,5,1,
1-Aug-25,shaily,SHAILY,30000,Good,NSE,1582,1550,1500,Y,1,3,3,5,1,
10-Oct-25,Skipper,SKIPPER,30000,,NSE,500,495,480,Y,1,3,3,5,1,
8-Jul-25,SOLARINDS,SOLARINDS,50000,Excellent,NSE,16050,15500,15000,Y,1,3,3,5,1,
3-Nov-25,southwest,SOUTHWEST,30000,,NSE,163,159,155,Y,1,3,3,5,1,
1-Jul-25,STERTOOLS,STERTOOLS,30000,Good,NSE,300,295,290,Y,1,3,3,5,1,
5-Sep-25,supriya,SUPRIYA,30000,,NSE,630,599,582,Y,1,3,3,5,1,
7-May-25,SYRMA,SYRMA,30000,Excellent,NSE,505,450,400,Y,1,3,3,5,1,
7-Nov-25,TARIL,TARIL,1,,NSE,295,288,280,Y,1,3,3,5,1,
23-Jun-25,TATAMOTORS,TMPV,0,Good,NSE,660,635,600,Y,1,3,3,5,1,
3-Oct-25,Tatatech,TATATECH,30000,,NSE,666,656,648,Y,1,3,3,5,1,
10-Jul-25,TCS,TCS,1,Good,NSE,2930,,,Y,1,3,3,5,1,
3-Oct-25,Torntpower,TORNTPOWER,1,,NSE,1221,1208,1186,Y,1,3,3,5,1,
3-Nov-25,vaibhavgbl,VAIBHAVGBL,1,,NSE,267,260,255,Y,1,3,3,5,1,
3-Jun-25,VBL,VBL,1,BAD,NSE,458,452,445,Y,1,3,3,5,1,11-Nov-25
2-Jun-25,WELSPUNLIV,WELSPUNLIV,1,Good,NSE,118,112,108,Y,1,3,3,5,1,
22-May-25,WIPRO,WIPRO,1,Good,NSE,240,235,230,Y,1,3,3,5,1,11-Nov-25
6-Nov-25,YUKEN,YUKEN,30000,,NSE,930,918,908,Y,1,3,3,5,1,
5-Sep-25,zaggle,ZAGGLE,1,,NSE,355,348,340,Y,1,3,3,5,1,
3-Nov-25,zensartech,ZENSARTECH,30000,,NSE,766.5,755,700,Y,1,3,3,5,1,
